gt100kb	23513712	41.7816
gt100kb	25286936	42.5983
gt100kb	28110227	41.4447
gt100kb	32079331	42.5558
gt100kb	1348131	34.8053
gt100kb	23542271	42.3434
gt100kb	3667352	36.656
le100kb	19956	31.6797
le100kb	44411	22.5147
le100kb	13157	38.717
le100kb	76224	37.584
le100kb	11983	60.9614
le100kb	87365	42.3236
le100kb	36913	61.1573
le100kb	22604	39.7408
le100kb	23238	52.965
le100kb	86267	34.5138
le100kb	88768	38.4609
le100kb	36482	27.2737
le100kb	25537	26.6319
le100kb	62570	26.5782
le100kb	45120	40.7513
le100kb	22882	24.4909
le100kb	46986	38.4944
le100kb	37106	38.1151
le100kb	16157	27.3256
le100kb	57785	31.6916
le100kb	20763	37.1141
le100kb	28305	36.8627
le100kb	25698	39.0886
le100kb	29583	29.642
le100kb	25560	24.3975
le100kb	26115	28.9144
le100kb	13455	39.1453
le100kb	43383	28.253
le100kb	12632	40.7932
le100kb	10091	45.3176
le100kb	24503	32.3593
le100kb	12714	14.1026
le100kb	33320	41.1104
le100kb	27447	34.3207
le100kb	47411	39.5815
le100kb	73091	40.5495
le100kb	66731	32.2249
le100kb	66439	34.844
le100kb	33316	35.5025
le100kb	34521	42.4756
le100kb	39041	40.8827
le100kb	34359	39.1018
le100kb	31460	40.7502
le100kb	21921	41.8001
le100kb	25805	26.9095
le100kb	24380	42.0304
le100kb	44104	39.7356
le100kb	11498	9.29727
le100kb	76973	30.7238
le100kb	1143	34.4707
le100kb	4222	34.5097
le100kb	1160	35.0862
le100kb	1650	34.4848
le100kb	11430	7.50656
le100kb	21074	12.048
le100kb	1152	38.6285
le100kb	25840	31.9582
le100kb	1966	41.6582
le100kb	1303	37.8358
le100kb	12424	36.6066
le100kb	6860	39.0379
le100kb	1990	40.402
le100kb	3120	35.641
le100kb	4573	45.3532
le100kb	1044	35.9195
le100kb	1719	39.7906
le100kb	12148	13.6977
le100kb	7722	35.6255
le100kb	4986	34.8576
le100kb	2784	43.8218
le100kb	3013	33.8865
le100kb	5026	33.844
le100kb	2419	34.1463
le100kb	4581	38.8998
le100kb	1008	44.0476
le100kb	1148	40.1568
le100kb	3073	61.2105
le100kb	1193	42.917
le100kb	2176	33.6397
le100kb	2442	60.5242
le100kb	1549	61.2653
le100kb	1045	40
le100kb	3010	61.8272
le100kb	3648	60.9649
le100kb	2221	61.0536
le100kb	1165	61.3734
le100kb	1378	42.5254
le100kb	2084	61.5163
le100kb	5060	54.7036
le100kb	4400	62.4545
le100kb	2435	61.4374
le100kb	1081	60.8696
le100kb	2253	60.719
le100kb	2079	32.0346
le100kb	1089	33.8843
le100kb	1011	32.9377
le100kb	2232	36.9176
le100kb	1059	44.7592
le100kb	1021	40.0588
le100kb	1171	31.5115
le100kb	1074	29.8883
le100kb	2400	29.875
le100kb	3557	40.1462
le100kb	2326	41.8745
le100kb	1907	36.0776
le100kb	1675	39.5821
le100kb	1819	29.9065
le100kb	2669	39.5279
le100kb	1226	34.9103
le100kb	2476	34.4103
le100kb	3218	38.5954
le100kb	1117	36.0788
le100kb	1141	40.8414
le100kb	1248	40.1442
le100kb	1109	46.9793
le100kb	4231	31.2692
le100kb	1424	50.9129
le100kb	2889	37.7639
le100kb	1029	36.5403
le100kb	2882	46.0097
le100kb	1031	30.2619
le100kb	1142	30.035
le100kb	1251	44.0448
le100kb	1039	35.1299
le100kb	3622	33.683
le100kb	1943	30.4683
le100kb	1368	30.848
le100kb	1473	30.0068
le100kb	3932	28.5351
le100kb	2479	29.9718
le100kb	2943	28.7122
le100kb	1050	39.4286
le100kb	1251	37.6499
le100kb	4608	35.0043
le100kb	1240	43.3871
le100kb	1074	46.8343
le100kb	1152	41.8403
le100kb	11148	9.84033
le100kb	1087	31.6467
le100kb	4256	38.4633
le100kb	1048	40.1718
le100kb	1377	28.3224
le100kb	1641	42.9007
le100kb	1090	35.6881
le100kb	1193	38.3068
le100kb	1101	33.6966
le100kb	1191	39.7145
le100kb	1079	32.3448
le100kb	1225	34.5306
le100kb	2982	43.1925
le100kb	2628	31.8113
le100kb	1105	37.6471
le100kb	1494	31.4592
le100kb	1150	43.7391
le100kb	2664	32.1321
le100kb	4030	35.8809
le100kb	2603	29.1587
le100kb	3080	34.1234
le100kb	3234	32.1892
le100kb	1040	53.3654
le100kb	1201	53.0391
le100kb	1199	38.6989
le100kb	1105	29.5928
le100kb	1148	30.1394
le100kb	1147	43.3304
le100kb	2161	27.95
le100kb	2124	38.371
le100kb	1225	36.7347
le100kb	1333	35.4839
le100kb	2584	34.8297
le100kb	2062	37.0029
le100kb	2385	43.1447
le100kb	1102	32.5771
le100kb	2014	29.6425
le100kb	1276	29.7022
le100kb	2198	29.7998
le100kb	1203	30.6733
le100kb	3519	41.7732
le100kb	1533	37.3777
le100kb	1716	40.3263
le100kb	1797	28.3806
le100kb	1340	30.2985
le100kb	1166	35.8491
le100kb	1005	36.8159
le100kb	1042	41.7466
le100kb	1271	33.753
le100kb	2129	30.4368
le100kb	1246	30.4173
le100kb	1032	34.6899
le100kb	1229	34.4182
le100kb	1144	38.1119
le100kb	1377	41.0312
le100kb	1177	32.0306
le100kb	1291	31.1387
le100kb	2006	31.007
le100kb	1102	31.3067
le100kb	1182	44.0778
le100kb	1961	39.3167
le100kb	1555	30.418
le100kb	2612	29.7473
le100kb	2882	34.3511
le100kb	1339	31.1426
le100kb	2368	29.4341
le100kb	1231	45.4915
le100kb	3144	29.7074
le100kb	3025	29.5207
le100kb	2541	28.4534
le100kb	1832	54.7489
le100kb	1520	30.0658
le100kb	2173	35.5269
le100kb	1261	32.0381
